-3,64472;1,11706;3,81206;-0,162996;105;
2,87665;3,38116;4,4393;-0,216913;366;
3,156;2,93792;4,31181;-0,213561;328;
-2,86582;3,3174;4,38384;-0,215909;314;
-0,81193;4,38867;4,46314;-0,217134;2170;
-3,34467;2,82554;4,37841;-0,215774;221;
2,34597;3,71715;4,39554;-0,216179;3262;
-2,70406;3,42582;4,36442;-0,215393;2027;
0,67067;4,42609;4,47661;-0,217203;351;
2,82594;3,24913;4,30613;-0,213325;2213;
1,57502;3,91864;4,22332;-0,209023;2748;
-2,18742;3,87464;4,44945;-0,217022;3015;
0,67483;4,27478;4,32772;-0,214183;2521;
-0,63207;4,25759;4,30425;-0,213245;2823;
-0,09886;4,48814;4,48923;-0,217232;362;
-0,59803;4,30236;4,34372;-0,214749;2615;
-2,40409;3,67113;4,38826;-0,216015;342;
3,50672;1,55426;3,83573;-0,16678;344;
-2,4019;3,75463;4,45717;-0,21709;170;
1,74789;3,47594;3,89067;-0,175025;2312;
-2,44433;3,53948;4,30147;-0,213126;2540;
3,40926;2,68193;4,33772;-0,214543;2137;
2,93534;3,39415;4,48737;-0,21723;2844;
0,45142;3,79687;3,82361;-0,16486;2521;
-1,34205;4,11757;4,33076;-0,214295;2921;
0,39624;4,39577;4,41359;-0,216534;2275;
0,83979;4,38641;4,46608;-0,217152;2844;
-3,82002;2,06998;4,34481;-0,214785;266;
1,12328;4,18603;4,33412;-0,214416;127;
3,43425;1,64632;3,80847;-0,16241;214;
-0,43866;4,4313;4,45296;-0,217055;2038;
-1,04311;4,08419;4,21529;-0,208519;2790;
2,1235;3,84728;4,39441;-0,216154;2513;
3,88436;2,02402;4,38006;-0,215816;331;
0,50789;3,80982;3,84352;-0,167995;2853;
-2,41387;3,73775;4,44944;-0,217022;2489;
0,58066;4,4411;4,4789;-0,217211;2370;
-1,44047;4,08739;4,33379;-0,214404;2815;
-4,07102;1,89151;4,48899;-0,217232;3196;
-1,1851;4,0795;4,24815;-0,210483;2158;
-0,32539;4,48035;4,49215;-0,217233;349;
-0,78792;4,27756;4,34952;-0,214939;3038;
2,29048;3,80737;4,44324;-0,216958;2150;
3,66871;1,19495;3,85841;-0,170274;3192;
0,06634;4,42273;4,42323;-0,216693;314;
3,2804;3,02789;4,46421;-0,217141;372;
0,30873;4,41928;4,43005;-0,216794;2521;
-1,80427;3,91411;4,30995;-0,213485;2731;
1,23872;4,18713;4,36652;-0,215453;2860;
-2,23306;3,75108;4,36545;-0,215423;3295;
-2,41946;3,72659;4,44311;-0,216957;2174;
3,1086;3,05937;4,36155;-0,21531;2662;
0,96612;4,19408;4,30392;-0,213231;3275;
-1,60626;4,04711;4,35421;-0,215088;2432;
-1,23811;4,10187;4,28465;-0,212364;3250;
1,58992;3,96694;4,27369;-0,211832;238;
-0,41771;4,2758;4,29615;-0,212892;3287;
3,0673;3,1449;4,39303;-0,216123;3114;
-2,30815;3,68573;4,34881;-0,214916;207;
0,89864;3,78584;3,89103;-0,175076;297;
-3,21595;2,92218;4,34528;-0,214801;193;
-1,0777;4,31019;4,44288;-0,216954;3108;
0,44219;4,27747;4,30027;-0,213074;2084;
-0,11157;4,38211;4,38353;-0,215902;307;
-1,18573;4,06196;4,23149;-0,209519;2105;
-1,62417;4,00976;4,32621;-0,214126;2090;
-3,47069;2,55484;4,30963;-0,213471;2166;
-2,78485;3,16332;4,2145;-0,208469;108;
-2,31701;3,63874;4,31381;-0,213643;2473;
-0,21666;4,38199;4,38734;-0,215993;2915;
1,78413;4,09672;4,46836;-0,217165;329;
3,30271;2,75314;4,29973;-0,21305;107;
-2,67448;3,37816;4,30869;-0,213432;393;
2,41256;3,67023;4,39216;-0,216104;2900;
-3,31548;3,01104;4,4787;-0,21721;338;
3,04178;3,08432;4,33191;-0,214337;359;
-1,85409;4,06036;4,46365;-0,217137;2436;
-2,60285;2,90418;3,89988;-0,176333;2512;
-1,74968;3,94791;4,31826;-0,21382;2506;
3,57356;1,52596;3,88573;-0,174314;384;
0,35501;4,39982;4,41412;-0,216543;241;
-0,6796;3,78829;3,84877;-0,168805;295;
0,61799;4,34779;4,39149;-0,216089;166;
3,45907;2,65248;4,35899;-0,215234;3207;
1,09626;4,21376;4,35403;-0,215082;273;
-1,57541;4,01865;4,31642;-0,213747;369;
3,2379;3,10321;4,48485;-0,217226;3064;
3,57089;2,70112;4,47742;-0,217206;3161;
1,94725;3,92104;4,37794;-0,215762;320;
-2,32069;3,12992;3,89641;-0,175843;2592;
3,86205;2,0486;4,37175;-0,215598;3277;
0,15252;4,25013;4,25287;-0,210744;313;
1,71566;3,96849;4,32347;-0,214022;165;
1,98745;4,01438;4,47942;-0,217212;328;
-1,52835;4,08893;4,36523;-0,215417;212;
3,7484;2,12668;4,30967;-0,213473;397;
1,64737;4,07464;4,39506;-0,216168;2447;
2,80059;3,34105;4,35958;-0,215251;254;
-3,10655;3,01366;4,32814;-0,214198;128;
3,44341;2,50525;4,25833;-0,211039;138;
